// Output Data File:
//
// FILENAME 3BusTestCase.out
//
// CASE FILENAME :
3BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              3	              3	              3	              2
//        RandomSeed	 iMaxDay	    dThresholdProbability	   dGenPriceCap	   dLSEPriceCap	 bMaximumDay	  bThreshold
           695672061	       2	                 0.999000	    1000.000000	       0.000000	           1	           1
//  bActionProb	      iStartDay	     iDayLength	    dActionProb	     bLearnProb	 iLearnStartDay	iLearnDayLength	     dLearnProb	    bNetEarning	    iNEStartDay	   iNEDayLength	   dNEThreshold
              0	              1	              5	       0.001000	              0	              1	              5	       0.001000	              0	              1	              5	      10.000000
#LMPWithTrueCostDataStart
// Hour	          Bus 1	          Bus 2	          Bus 3
#LMPWithTrueCostDataEnd

#GeneratorCommitmentWithTrueCostDataStart
// Hour	         GenCo1	         GenCo2	         GenCo3
#GeneratorCommitmentWithTrueCostDataEnd

#GeneratorProfitWithTrueCostDataStart
// Hour	   GenID	         Profit	   Net Earnings	        Revenue
NONE
#GeneratorProfitWithTrueCostDataEnd

#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
    4	   11	    1000.000000	     700.000000	       0.000000
    4	   12	    1000.000000	     700.000000	       0.000000
    4	   13	    1000.000000	     700.000000	       0.000000
    4	   14	    1000.000000	     700.000000	       0.000000
    5	    0	    1000.000000	     700.000000	       0.000000
    5	    1	    1000.000000	     700.000000	       0.000000
    5	    2	    1000.000000	     700.000000	       0.000000
    5	    3	    1000.000000	     700.000000	       0.000000
    5	    4	    1000.000000	     700.000000	       0.000000
    5	    5	    1000.000000	     700.000000	       0.000000
    5	    6	    1000.000000	     700.000000	       0.000000
    5	    7	    1000.000000	     700.000000	       0.000000
    5	    8	    1000.000000	     700.000000	       0.000000
    5	    9	    1000.000000	     700.000000	       0.000000
    5	   10	    1000.000000	     700.000000	       0.000000
    5	   11	    1000.000000	     700.000000	       0.000000
    5	   12	    1000.000000	     700.000000	       0.000000
    5	   13	    1000.000000	     700.000000	       0.000000
    5	   14	    1000.000000	     700.000000	       0.000000
    6	    0	     600.000000	       0.000000	       0.000000
    6	    1	     600.000000	       0.000000	       0.000000
    6	    2	     600.000000	       0.000000	       0.000000
    6	    3	     600.000000	       0.000000	       0.000000
    6	    4	     600.000000	       0.000000	       0.000000
    6	    5	     600.000000	       0.000000	       0.000000
    6	    6	     600.000000	       0.000000	       0.000000
    6	    7	     600.000000	       0.000000	       0.000000
    6	    8	     600.000000	       0.000000	       0.000000
    6	    9	     600.000000	       0.000000	       0.000000
    6	   10	     600.000000	       0.000000	       0.000000
    6	   11	     600.000000	       0.000000	       0.000000
    6	   12	     600.000000	       0.000000	       0.000000
    6	   13	     600.000000	       0.000000	       0.000000
