USPS	GEOID	ANSICODE	NAME	FUNCSTAT10	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                         
TX	4802793680	01939218	Southwest Bell CCD	S	6966	2750	253844318	2856885	      98.010	       1.103	 31.000292	 -97.795397                                                                                
TX	4802793855	01939253	Temple CCD	S	69183	29748	357457493	2628336	     138.015	       1.015	 31.080686	 -97.348638                                                                                      
TX	4802993407	02628567	San Antonio Central CCD	S	672648	249621	466994695	2749193	     180.308	       1.061	 29.414944	 -98.511387                                                                       
TX	4802993408	02628568	San Antonio East CCD	S	32691	12221	489494768	23476850	     188.995	       9.064	 29.364762	 -98.304962                                                                           
TX	4802993409	02628569	San Antonio North CCD	S	309717	135556	570315302	1687039	     220.200	       0.651	 29.644285	 -98.500640                                                                         
TX	4802993411	02628570	San Antonio Northeast CCD	S	233237	90907	260643838	2435859	     100.635	       0.940	 29.517613	 -98.329695                                                                      
TX	4802993412	02628571	San Antonio Northwest CCD	S	269553	107245	489629305	990564	     189.047	       0.382	 29.600413	 -98.696933                                                                      
TX	4802993413	02628572	San Antonio South CCD	S	40578	13703	542877850	7723039	     209.606	       2.982	 29.233462	 -98.531182                                                                           
TX	4802993414	02628573	San Antonio West CCD	S	156349	53619	391164225	3064965	     151.029	       1.183	 29.392067	 -98.740355                                                                           
TX	4803190330	01938541	Blanco CCD	S	5534	2823	552751160	1731526	     213.418	       0.669	 30.103245	 -98.399079                                                                                        
TX	4803191950	01938871	Johnson City CCD	S	4963	2709	1284200583	9083085	     495.833	       3.507	 30.334832	 -98.396396                                                                                 
TX	4803391425	01938762	Gail North CCD	S	297	139	756704674	1561211	     292.165	       0.603	 32.895953	-101.498246                                                                                      
TX	4803391430	01938763	Gail South CCD	S	344	246	1567660667	20736530	     605.277	       8.006	 32.678290	-101.424067                                                                                    
TX	4803590760	01938630	Clifton CCD	S	7357	3857	563455925	11768584	     217.552	       4.544	 31.811956	 -97.486968                                                                                      
TX	4803590890	01938656	Cranfills Gap CCD	S	905	525	286896914	2119320	     110.772	       0.818	 31.774623	 -97.756011                                                                                   
TX	4803591890	01938859	Iredell CCD	S	974	612	364558510	4513274	     140.757	       1.743	 31.944592	 -97.881447                                                                                         
TX	4803592530	01938987	Meridian CCD	S	6532	3590	1048836196	30108886	     404.958	      11.625	 32.005152	 -97.636276                                                                                    
TX	4803593990	01939280	Valley Mills CCD	S	2444	1039	282154802	2162002	     108.941	       0.835	 31.662611	 -97.540430                                                                                  
TX	4803790950	01938668	Dalby Springs-Simms CCD	S	2455	1073	428472003	3190967	     165.434	       1.232	 33.351849	 -94.596950                                                                           
TX	4803790980	01938674	De Kalb CCD	S	5238	2534	599799311	11010274	     231.584	       4.251	 33.551415	 -94.622862                                                                                      
TX	4803791830	01938847	Hooks CCD	S	5652	2544	311229121	6130172	     120.166	       2.367	 33.476741	 -94.290309                                                                                         
TX	4803792476	01938976	Maud-Redwater CCD	S	10221	4267	378173279	68701231	     146.014	      26.526	 33.339632	 -94.282021                                                                               
TX	4803792725	01939026	New Boston CCD	S	10820	3642	256039856	3131958	      98.858	       1.209	 33.478114	 -94.453372                                                                                   
TX	4803793875	01939257	Texarkana CCD	S	58179	24433	318440178	6155424	     122.950	       2.377	 33.471569	 -94.122961                                                                                   
TX	4803990055	01938486	Alvin-Pearland CCD	S	176301	64587	1062716338	71728018	     410.317	      27.694	 29.350456	 -95.265195                                                                           
TX	4803990094	01938494	Angleton CCD	S	43846	13814	806816644	38388441	     311.514	      14.822	 29.240192	 -95.488876                                                                                   
TX	4803990410	01938557	Brazoria-West Columbia CCD	S	32807	13778	1209677896	118396010	     467.059	      45.713	 29.075536	 -95.643460                                                                   
TX	4803990415	01938558	Brazosport CCD	S	60212	26157	437218814	421280225	     168.811	     162.657	 29.003705	 -95.286787                                                                                
TX	4804190495	01938574	Bryan-College Station CCD	S	119509	46765	81448091	179498	      31.447	       0.069	 30.645881	 -96.346998                                                                        
TX	4804192790	01939039	Northeast Brazos CCD	S	15438	6248	664962078	4657551	     256.743	       1.798	 30.787681	 -96.281577                                                                             
TX	4804193635	01939209	South Brazos CCD	S	46507	19121	529044133	6068696	     204.265	       2.343	 30.510396	 -96.248162                                                                                
TX	4804194150	01939312	West Brazos CCD	S	13397	5566	240841855	4097196	      92.990	       1.582	 30.657999	 -96.474340                                                                                  
TX	4804390040	01938483	Alpine CCD	S	8671	4899	9044917581	9782954	    3492.262	       3.777	 29.617784	-103.468655                                                                                       
TX	4804392390	01938959	Marathon CCD	S	561	484	6970877504	12281050	    2691.471	       4.742	 30.028601	-103.014590                                                                                      
TX	4804593175	01939116	Quitaque CCD	S	535	343	861648623	1682275	     332.684	       0.650	 34.430004	-101.003007                                                                                        
TX	4804593575	01939197	Silverton CCD	S	1102	610	1469342371	2386392	     567.316	       0.921	 34.529239	-101.285785                                                                                     
TX	4804791245	01938727	Encino CCD	S	463	333	1942190682	303285	     749.884	       0.117	 26.978668	 -98.222430                                                                                          
TX	4804791280	01938733	Falfurrias CCD	S	6760	2906	501111254	438343	     193.480	       0.169	 27.218891	 -98.243120                                                                                     
TX	4804990200	01938515	Bangs CCD	S	6901	4081	582762716	22388585	     225.006	       8.644	 31.790092	 -99.111359                                                                                        
TX	4804990335	01938542	Blanket CCD	S	3143	1446	484925390	1304841	     187.231	       0.504	 31.746886	 -98.829009                                                                                       
TX	4804990485	01938572	Brownwood CCD	S	26048	11181	763584611	2678926	     294.822	       1.034	 31.604556	 -99.017831                                                                                   
TX	4804992485	01938978	May CCD	S	2014	1579	614798247	6056418	     237.375	       2.338	 31.972269	 -98.999151                                                                                           
TX	4805190570	01938589	Caldwell CCD	S	8603	3923	673427526	7828018	     260.012	       3.022	 30.532171	 -96.758780                                                                                      
TX	4805190825	01938643	Cooks Point CCD	S	1421	762	254917326	3625104	      98.424	       1.400	 30.629396	 -96.628015                                                                                    
TX	4805192890	01939059	Old River CCD	S	3250	1631	538429852	8652400	     207.889	       3.341	 30.463134	 -96.451919                                                                                     
TX	4805193610	01939204	Somerville CCD	S	3913	2516	240095937	25959135	      92.702	      10.023	 30.357607	 -96.608474                                                                                   
TX	4805390275	01938530	Bertram CCD	S	3743	1522	211363317	509388	      81.608	       0.197	 30.748364	 -98.041623                                                                                        
TX	4805390450	01938565	Briggs CCD	S	1988	986	582739258	2224647	     224.997	       0.859	 30.934672	 -98.000961                                                                                         
TX	4805390545	01938584	Burnet CCD	S	14643	7060	1183676296	41280822	     457.020	      15.939	 30.839944	 -98.264946                                                                                     
TX	4805392395	01938960	Marble Falls CCD	S	22376	11302	597337711	25925708	     230.633	      10.010	 30.561063	 -98.249158                                                                               
TX	4805592245	01938930	Lockhart CCD	S	22448	8129	653253172	2048067	     252.222	       0.791	 29.910499	 -97.623393                                                                                     
TX	4805592330	01938947	Luling CCD	S	8016	3308	527266268	1287414	     203.579	       0.497	 29.752838	 -97.532446                                                                                        
TX	4805592440	01938969	Martindale CCD	S	7602	2322	231688590	1598391	      89.455	       0.617	 29.831619	 -97.788643                                                                                    
TX	4805791975	01938876	Kamey-Sixmile CCD	S	1270	491	185913432	5517311	      71.782	       2.130	 28.614528	 -96.740161                                                                                  
TX	4805793085	01939098	Point Comfort CCD	S	1454	1202	142552357	335916420	      55.040	     129.698	 28.631343	 -96.448704                                                                               
TX	4805793105	01939102	Port Lavaca CCD	S	14769	6322	251543525	68982897	      97.122	      26.634	 28.562746	 -96.609883                                                                                 
TX	4805793480	01939178	Seadrift CCD	S	3888	3395	732701299	951491205	     282.898	     367.373	 28.340079	 -96.630748                                                                                    
TX	4805990180	01938511	Baird CCD	S	2223	1192	840470638	1705307	     324.508	       0.658	 32.387614	 -99.283610                                                                                         
TX	4805990765	01938631	Clyde CCD	S	9287	4202	877889841	2227029	     338.955	       0.860	 32.288719	 -99.533901                                                                                         
TX	4805990910	01938660	Cross Plains CCD	S	2034	1155	611002769	966452	     235.909	       0.373	 32.178344	 -99.252454                                                                                   
TX	4806190480	01938571	Brownsville CCD	S	206752	63152	347634003	16471376	     134.222	       6.360	 25.965779	 -97.512557                                                                               
TX	4806191115	01938701	East Cameron CCD	S	22539	14856	442534914	836954008	     170.864	     323.150	 26.151110	 -97.297554                                                                              
TX	4806191720	01938825	Harlingen-San Benito CCD	S	144780	53013	826634502	18284405	     319.165	       7.060	 26.189200	 -97.730800                                                                      
TX	4806192295	01938940	Los Fresnos-Laureles CCD	S	23712	7122	325216449	13779873	     125.567	       5.320	 26.102923	 -97.478958                                                                        
TX	4806193245	01939130	Rio Hondo CCD	S	8437	3781	365458278	113041841	     141.104	      43.646	 26.271395	 -97.441447                                                                                   
TX	4806392170	01938915	Leesburg-Newsome CCD	S	1648	855	110231041	5838944	      42.560	       2.254	 32.971809	 -95.112076                                                                               
TX	4806393050	01939091	Pittsburg CCD	S	10753	4801	396957087	13344667	     153.266	       5.152	 32.972602	 -94.945518                                                                                   
TX	4806592965	01939074	Panhandle CCD	S	3795	1603	1397769184	4855600	     539.682	       1.875	 35.405813	-101.460660                                                                                    
TX	4806594195	01939321	White Deer-Groom CCD	S	2387	1181	985590369	5208655	     380.539	       2.011	 35.400570	-101.194421                                                                              
TX	4806790160	01938507	Atlanta CCD	S	13705	6338	499833378	28793638	     192.987	      11.117	 33.176344	 -94.128950                                                                                     
TX	4806790320	01938539	Bivins-McLeod CCD	S	2822	1281	286187831	898540	     110.498	       0.347	 32.981902	 -94.142201                                                                                  
TX	4806791850	01938851	Hughes Springs-Avinger CCD	S	5411	2439	360846578	2559430	     139.324	       0.988	 32.988825	 -94.582107                                                                        
TX	4806792215	01938924	Linden CCD	S	5740	2887	705670907	2504615	     272.461	       0.967	 32.985617	 -94.350415                                                                                        
TX	4806792405	01938962	Marietta-Douglassville CCD	S	2786	1434	574184861	25743512	     221.694	       9.940	 33.186034	 -94.466598                                                                       
TX	4806991059	01938690	Dimmitt CCD	S	5824	2293	1183254022	6165654	     456.857	       2.381	 34.628225	-102.257975                                                                                      
TX	4806991732	01938691	Hart CCD	S	2238	873	1133318682	6419456	     437.577	       2.479	 34.421018	-102.256205                                                                                          
TX	4807190075	01938490	Anahuac CCD	S	6777	2968	860385559	655549346	     332.197	     253.109	 29.672077	 -94.695258                                                                                     
TX	4807192620	01939005	Mont Belvieu CCD	S	22045	7912	307444754	40909449	     118.705	      15.795	 29.782183	 -94.843734                                                                                
TX	4807194245	01939331	Winnie-Stowell CCD	S	6274	2411	378748519	13315930	     146.236	       5.141	 29.751627	 -94.420716                                                                               
TX	4807390045	01938484	Alto CCD	S	3541	1593	486876188	1633271	     187.984	       0.631	 31.638625	 -95.076465                                                                                          
TX	4807391910	01938863	Jacksonville CCD	S	22847	9279	465057450	6109063	     179.560	       2.359	 31.962406	 -95.304210                                                                                 
TX	4807392670	01939015	Mount Selman CCD	S	5499	2473	243874141	8068044	      94.160	       3.115	 32.093947	 -95.293979                                                                                  
TX	4807392745	01939030	New Summerfield CCD	S	4443	1860	451527765	6527846	     174.336	       2.520	 32.013883	 -95.066000                                                                               
TX	4807393370	01939156	Rusk CCD	S	12789	4859	841968348	1367767	     325.086	       0.528	 31.797013	 -95.193119                                                                                         
TX	4807394135	01939309	Wells CCD	S	1726	795	237726970	326113	      91.787	       0.126	 31.495130	 -95.004423                                                                                           
TX	4807590700	01938618	Childress CCD	S	6968	2833	1026225152	30069954	     396.228	      11.610	 34.436073	-100.204484                                                                                   
TX	4807592777	01939047	North Childress CCD	S	73	50	777455070	14765182	     300.177	       5.701	 34.655183	-100.213875                                                                                  
TX	4807790245	01938524	Bellevue-Joy CCD	S	1685	827	1023551245	12399182	     395.195	       4.787	 33.588363	 -98.180125                                                                                 
TX	4807790560	01938587	Byers-Petrolia CCD	S	2237	1082	704298234	3600290	     271.931	       1.390	 34.030379	 -98.215161                                                                                
TX	4807791780	01938837	Henrietta CCD	S	6830	3241	1091924964	56604820	     421.595	      21.855	 33.803534	 -98.231381                                                                                   
TX	4807992650	01939011	Morton CCD	S	2450	1090	1462742470	229068	     564.768	       0.088	 33.632375	-102.875892                                                                                        
TX	4807994200	01939322	Whiteface CCD	S	677	270	544887344	0	     210.382	       0.000	 33.507592	-102.707466                                                                                             
TX	4808190460	01938567	Bronte CCD	S	1676	1254	904424348	12128968	     349.200	       4.683	 31.917756	-100.360236                                                                                       
TX	4808193265	01939134	Robert Lee CCD	S	1644	1413	1456271320	30660564	     562.270	      11.838	 31.877105	-100.635236                                                                                  
TX	4808390780	01938634	Coleman CCD	S	5542	3135	803962711	2915990	     310.412	       1.126	 31.914205	 -99.346622                                                                                       
TX	4808392865	01939054	Novice CCD	S	728	619	615661382	9863480	     237.708	       3.808	 31.973347	 -99.570161                                                                                          
TX	4808393450	01939172	Santa Anna CCD	S	1805	1106	884857026	4374183	     341.645	       1.689	 31.623670	 -99.321602                                                                                    
TX	4808393830	01939248	Talpa CCD	S	820	683	963943317	33318613	     372.181	      12.864	 31.661229	 -99.600077                                                                                          
TX	4808590100	01938495	Anna CCD	S	18953	6775	340371751	4722438	     131.418	       1.823	 33.326379	 -96.580811                                                                                         
TX	4808590350	01938545	Blue Ridge CCD	S	6018	2471	319655347	3381311	     123.420	       1.306	 33.294313	 -96.397478                                                                                    
TX	4808590665	01938611	Celina CCD	S	20403	7257	286939762	4100831	     110.788	       1.583	 33.301260	 -96.757724                                                                                       
TX	4808591295	01938736	Farmersville CCD	S	9200	3555	199439546	29868375	      77.004	      11.532	 33.141506	 -96.374065                                                                                 
TX	4808592360	01938953	McKinney CCD	S	201991	74688	254233736	1995491	      98.160	       0.770	 33.174949	 -96.726079                                                                                   
